"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get all spartan","SUCCESS","2022-05-10T13:22:47.580226-05:00[America/Chicago]","0.0","3.39"
"Spartan admin get test","Get one spartan","SUCCESS","2022-05-10T13:22:50.983914-05:00[America/Chicago]","0.0","1.23"
